"","day","ReportingCountry","cases","casesbreakthrough","casesreinf","date"
"83",91,"ES",554,0,0,2022-07-30
"84",98,"ES",489,0,0,2022-08-06
"85",105,"ES",335,0,0,2022-08-13
"86",112,"ES",223,0,0,2022-08-20
"87",119,"ES",186,0,0,2022-08-27
"88",126,"ES",125,0,0,2022-09-03
"89",133,"ES",94,0,0,2022-09-10
"90",140,"ES",52,0,0,2022-09-17
"91",147,"ES",41,0,0,2022-09-24
"92",154,"ES",30,0,0,2022-10-01
"93",161,"ES",18,0,0,2022-10-08
"94",168,"ES",10,0,0,2022-10-15
"95",175,"ES",13,0,0,2022-10-22
"96",182,"ES",8,0,0,2022-10-29
"97",190,"ES",6,0,0,2022-11-06
"98",197,"ES",6,0,0,2022-11-13
"99",204,"ES",4,0,0,2022-11-20
"100",211,"ES",3,0,0,2022-11-27
"101",218,"ES",4,0,0,2022-12-04
"102",225,"ES",4,0,0,2022-12-11
"103",232,"ES",3,0,0,2022-12-18
"104",239,"ES",1,0,0,2022-12-25
"105",246,"ES",1,0,0,2023-01-01
"106",253,"ES",4,0,0,2023-01-08
"107",260,"ES",5,0,0,2023-01-15
"108",267,"ES",8,0,0,2023-01-22
"109",274,"ES",7,0,0,2023-01-29
"110",281,"ES",6,0,0,2023-02-05
"111",288,"ES",3,0,0,2023-02-12
"112",302,"ES",2,0,0,2023-02-26
"113",309,"ES",2,0,0,2023-03-05
"114",316,"ES",1,0,0,2023-03-12
"115",323,"ES",3,0,0,2023-03-19
"116",344,"ES",1,0,0,2023-04-09
"117",351,"ES",1,0,0,2023-04-16
"118",358,"ES",2,0,0,2023-04-23
"119",386,"ES",1,0,0,2023-05-21
"120",428,"ES",1,0,0,2023-07-02
"121",435,"ES",1,0,0,2023-07-09
"122",442,"ES",2,0,0,2023-07-16
"123",449,"ES",2,0,0,2023-07-23
"124",456,"ES",1,0,0,2023-07-30
"125",463,"ES",7,0,0,2023-08-06
"126",470,"ES",9,0,0,2023-08-13
"127",477,"ES",4,0,0,2023-08-20
"128",484,"ES",6,0,0,2023-08-27
"129",491,"ES",7,0,0,2023-09-03
"130",498,"ES",10,0,0,2023-09-10
"131",505,"ES",7,0,0,2023-09-17
"132",512,"ES",6,0,0,2023-09-24
"133",519,"ES",15,0,0,2023-10-01
"134",526,"ES",15,0,0,2023-10-08
"135",533,"ES",8,0,0,2023-10-15
"136",540,"ES",12,0,0,2023-10-22
"137",548,"ES",14,0,0,2023-10-30
"138",555,"ES",10,0,0,2023-11-06
"139",562,"ES",18,0,0,2023-11-13
"140",569,"ES",18,0,0,2023-11-20
"141",576,"ES",12,0,0,2023-11-27
"142",583,"ES",15,0,0,2023-12-04
"143",590,"ES",15,0,0,2023-12-11
"144",597,"ES",21,0,0,2023-12-18
"145",604,"ES",15,0,0,2023-12-25
"146",611,"ES",16,0,0,2024-01-01
"147",618,"ES",15,0,0,2024-01-08
"148",625,"ES",17,0,0,2024-01-15
"149",632,"ES",15,0,0,2024-01-22
"150",639,"ES",15,0,0,2024-01-29
"151",646,"ES",17,0,0,2024-02-05
"152",653,"ES",14,0,0,2024-02-12
"153",660,"ES",18,0,0,2024-02-19
"154",667,"ES",15,0,0,2024-02-26
"155",674,"ES",14,0,0,2024-03-04
"156",681,"ES",13,0,0,2024-03-11
"157",688,"ES",12,0,0,2024-03-18
"158",695,"ES",7,0,0,2024-03-25
"159",702,"ES",7,0,0,2024-04-01
"160",709,"ES",7,0,0,2024-04-08
"161",716,"ES",6,0,0,2024-04-15
"162",723,"ES",11,0,0,2024-04-22
"163",730,"ES",10,0,0,2024-04-29
"164",737,"ES",10,0,0,2024-05-06
"165",744,"ES",16,0,0,2024-05-13
"166",751,"ES",12,0,0,2024-05-20
"167",758,"ES",11,0,0,2024-05-27
"168",766,"ES",8,0,0,2024-06-04
"169",773,"ES",4,0,0,2024-06-11
"170",780,"ES",4,0,0,2024-06-18
"171",787,"ES",6,0,0,2024-06-25
"172",794,"ES",5,0,0,2024-07-02
"173",801,"ES",2,0,0,2024-07-09
"174",808,"ES",9,0,0,2024-07-16
"175",815,"ES",11,0,0,2024-07-23
"176",822,"ES",6,0,0,2024-07-30
"177",829,"ES",5,0,0,2024-08-06
"178",836,"ES",21,0,0,2024-08-13
"179",843,"ES",14,0,0,2024-08-20
"180",850,"ES",12,0,0,2024-08-27
"181",857,"ES",13,0,0,2024-09-03
"182",864,"ES",12,0,0,2024-09-10
"183",871,"ES",13,1,0,2024-09-17
"184",878,"ES",6,0,0,2024-09-24
"185",885,"ES",11,1,0,2024-10-01
"186",892,"ES",23,0,0,2024-10-08
"187",899,"ES",14,0,0,2024-10-15
"188",906,"ES",19,0,0,2024-10-22
"189",913,"ES",18,0,0,2024-10-29
"190",920,"ES",22,0,0,2024-11-05
"191",927,"ES",25,1,0,2024-11-12
"192",934,"ES",22,0,0,2024-11-19
"193",941,"ES",23,0,0,2024-11-26
"194",949,"ES",16,0,0,2024-12-04
"195",956,"ES",13,0,0,2024-12-11
"196",963,"ES",12,0,0,2024-12-18
"197",970,"ES",11,0,0,2024-12-25
"198",977,"ES",14,0,0,2025-01-01
"199",984,"ES",10,0,0,2025-01-08
"200",991,"ES",18,0,0,2025-01-15
"201",998,"ES",15,0,0,2025-01-22
