"","X","countries","parameter","dX","dloglikelihoodd0","dloglikelihoodd1"
"73",5,"NL","turnover",0.16,-0.750172023034224,-1.10600080144377
"74",6,"NL","omega",0.16,-0.87857244808913,-1.07158698406158
"75",7,"NL","N",0.16,0.333947468728752,-1.04194437121203
"76",8,"NL","r",0.16,-0.484386488814948,-0.876054214306009
"77",9,"NL","rdrift",0.16,1.12923808971698,-1.20717152957502
"78",10,"NL","iota0",0.16,-0.596910688082062,-1.41582458473056
"79",11,"NL","iota1",0.16,-1.01656584164687,-0.912099353428516
"80",12,"NL","iota2",0.16,-0.582390529211693,-0.629747185357928
"81",13,"NL","iota3",0.16,-0.92871782312875,-0.941170639758525
"82",14,"NL","sampf",0.16,-3.35582718919954,2.34047345980116
"83",15,"NL","ve1",0.16,-17.6217308488059,19.1633139510374
"84",16,"NL","ve",0.16,-0.507303529339652,-0.635211692236567
"85",17,"NL","initv",0.16,45.4126152149767,-38.3470950612282
